client_id;project_ids;project_name;service_type;term_months;flight_no;flight_start;flight_end;last_active_month;status;report_generated_at;comment;flag
301;301;Аврора Клиник;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-01-01;Строка отчёта по границам и статусу верна.;ok
301;301;Аврора Клиник;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2026-01-01;Строка отчёта по границам и статусу верна.;ok
302;302;БетаСтрой;Крауд-маркетинг;6;1;2024-02-01;2024-07-01;2024-07-01;непролонгировано;2026-01-01;Строка отчёта по границам и статусу верна.;ok
303;303;Эверест Тур;Управление репутацией;6;1;2024-03-01;2024-08-01;2024-06-01;отвал;2026-01-01;Метка стоп 2024-07, последняя ненулевая отгрузка 2024-06. Строка отчёта по границам и статусу верна.;ok
304;304;Нова Медиа;Разовый аудит;1;1;2024-05-01;2024-05-01;2024-05-01;завершился (разовые работы);2026-01-01;Разовый проект, в отчёт попал верно. Строка отчёта по границам и статусу верна.;ok
311;310|311;Гамма Ритейл;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-01-01;Склеены project_id 310|311: в history переименование без перекрытия оплаченных месяцев — это один клиент. Строка отчёта по границам и статусу верна.;ok
311;310|311;Гамма Ритейл Про;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2026-01-01;Склеены project_id 310|311: в history переименование без перекрытия оплаченных месяцев — это один клиент. Строка отчёта по границам и статусу верна.;ok
320;320;Дельта Пиар;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;непролонгировано;2026-01-01;В projects_history указано переименование 320→321 с 2024-04, но оба проекта отгружались параллельно (2024-04, 2024-05, 2024-06). Как одного клиента не склеиваем: это два договора, не ренейм. В исходном отчёте склеены в client_id 321, из-за этого первый флайт ложно помечен как пролонгировано. В отчёте было: статус «пролонгировано» → «непролонгировано».;спорно
321;321;Дельта Реклама;Управление репутацией;6;1;2024-04-01;2024-09-01;2024-09-01;непролонгировано;2026-01-01;В projects_history указано переименование 320→321 с 2024-04, но оба проекта отгружались параллельно (2024-04, 2024-05, 2024-06). Как одного клиента не склеиваем: это два договора, не ренейм. В исходном отчёте склеены в client_id 321, из-за этого первый флайт ложно помечен как пролонгировано. Этой строки в исходном отчёте не было (или флайт нарезан иначе).;спорно
330;330;Кварц Медиа;Крауд-маркетинг;6;1;2024-01-01;2024-06-01;2024-06-01;непролонгировано;2026-01-01;"Следующая отгрузка только в 2024-11, это новый заход, не продление. В отчёте было: статус «пролонгировано» → «непролонгировано»; услуга «Мониторинг СМИ» → «Крауд-маркетинг»; срок 12 → 6; конец 2024-12 → 2024-06; last_active 2024-12 → 2024-06.";fixed
330;330;Кварц Медиа;Мониторинг СМИ;12;2;2024-11-01;2025-10-01;2025-02-01;прерван;2026-01-01;Отгрузки оборвались на 2025-02 при плановом конце 2025-10 (4 из 12 мес), метки стоп нет. В исходном отчёте такие случаи часто записаны как непролонгировано — это занижает «отвал/прерывание». Этой строки в исходном отчёте не было (или флайт нарезан иначе).;fixed
331;331;Титан Строй;Мониторинг СМИ;12;1;2024-01-01;2024-06-01;2024-06-01;смена услуги;2026-01-01;"С 2024-07 услуга сменилась, отгрузки непрерывны. Исходный срок услуги «Мониторинг СМИ» — 12 мес, фактически закрыли раньше. Это не отток: клиент остался. В отчёте было: статус «пролонгировано» → «смена услуги»; услуга «Управление репутацией» → «Мониторинг СМИ»; срок 6 → 12.";fixed
331;331;Титан Строй;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-12-01;непролонгировано;2026-01-01;Строка отчёта по границам и статусу верна.;ok
340;340;Сигма Групп;Управление репутацией;6;1;2024-01-01;2024-06-01;2024-06-01;пролонгировано;2026-01-01;"Метка стоп 2024-05, но уже в 2024-06 снова ненулевая отгрузка — как отвал не считаем (похоже на сбой или отмену стопа). В отчёте было: статус «отвал» → «пролонгировано»; last_active 2024-04 → 2024-06.";спорно
340;340;Сигма Групп;Управление репутацией;6;2;2024-07-01;2024-12-01;2024-09-01;прерван;2026-01-01;Отгрузки оборвались на 2024-09 при плановом конце 2024-12 (3 из 6 мес), метки стоп нет. В исходном отчёте такие случаи часто записаны как непролонгировано — это занижает «отвал/прерывание». Этой строки в исходном отчёте не было (или флайт нарезан иначе).;fixed
350;350;Орион Диджитал;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;пролонгировано;2026-01-01;В отчёте было: статус «неизвестно» → «пролонгировано».;fixed
350;350;Орион Диджитал;Управление репутацией;6;2;2025-09-01;2026-02-01;2026-01-01;активен;2026-01-01;Флайт ещё не закончился относительно выгрузки (as of 2026-01). Этой строки в исходном отчёте не было (или флайт нарезан иначе).;fixed
351;351;Пульс Медиа;Управление репутацией;6;1;2025-03-01;2025-08-01;2025-08-01;непролонгировано;2026-01-01;В отчёте было: статус «неизвестно» → «непролонгировано».;fixed
